"Name","Location_New"
Hotel O Wisma Jampea,Near Fort Rotterdam Makassar
Hotel O Wisma Dg Tata,Near Daun Coffe Daeng Tata
Hotel O Wisma Maysara Makassar,Near Pabaeng-Baeng Market
Hotel O Makassar near Losari Beach formerly Ocean View Hotel,Near Losari Beach
Hotel O Transit 2,Near Sultan Hasanuddin Airport
Hotel O Pondok Orange Family,Near Gowa Discovery Park (GDP)
Hotel O Transit 1,Near Arcade Mall Ratu Indah
Hotel O Pondok Ripuji,Near Mallengkeri St
Hotel O Grand Azizah,Near Panakkukang Mall
Collection O 91046 Hotel Remaja Indah Masamba,Near Mess Pengayoman Rutan Masamba
Hotel O Pondokan Tali Super,Near Gereja Toraja Jemaat Sion Pare-Pare
"Collection O 91488 Hotel Lingkarsut Jeneponto Near Patung kuda, Jeneponto",Near Tetta Cafe Jeneponto
Hotel O Pondok Feby Makassar,Near Poltekkes Makasar
Hotel O Pondok Bintang,Near Tun Abdul Razak St
Hotel O Makassar near Mall Panakukkang formerly Sayang Home Stay,Near Mall Panakukkang
Hotel O Icha Homestay,Near Citra Mart
Hotel O Lulu Homestay,Near Nipah Mall
Hotel O Penginapan Radja Jeneponto,Near Kantor Insprektorat Jeneponto
Hotel O Bontotangnga Homestay,Near Warung Mbak Daeng sultan Alauddin
Hotel O Subur,Near RSUD Batara Guru
